voting_id,total_favor,total_contra,total_absent,is_approved
47864,51,19,90,True
47886,155,3,2,True
47887,16,142,2,False
47888,156,2,2,True
47889,119,39,2,True
47890,158,0,2,True
47891,67,91,2,False
47892,157,1,2,True
47893,126,32,2,True
47894,148,10,2,True
47895,46,112,2,False
47896,44,114,2,False
47897,3,155,2,False
47898,127,31,2,True
47899,129,29,2,True
47900,9,150,1,False
47901,159,0,1,True
47902,20,139,1,False
47903,154,5,1,True
47904,110,49,1,True
47905,42,117,1,False
47906,104,55,1,True
47907,140,19,1,True
47908,154,5,1,True
47909,156,3,1,True
47910,29,130,1,False
47911,18,141,1,False
47912,158,1,1,True
47913,42,117,1,False
47914,65,94,1,False
47915,114,45,1,True
47916,139,20,1,True
47917,66,93,1,False
47918,67,92,1,False
47919,6,153,1,False
47920,156,3,1,True
47921,123,36,1,True
47922,75,84,1,False
47923,158,1,1,True
47924,41,118,1,False
47925,60,99,1,False
47926,4,154,2,False
47927,158,0,2,True
47928,153,5,2,True
47929,130,28,2,True
47930,71,87,2,False
47931,155,3,2,True
47932,157,1,2,True
47933,141,17,2,True
47934,62,96,2,False
47935,15,143,2,False
47936,33,125,2,False
47937,69,90,1,False
47938,131,28,1,True
47939,158,1,1,True
47940,16,143,1,False
47941,156,3,1,True
47942,121,38,1,True
47943,149,10,1,True
47944,8,151,1,False
47945,158,1,1,True
47946,4,155,1,False
47947,11,148,1,False
47948,127,32,1,True
47949,5,154,1,False
47950,158,0,2,True
47951,148,10,2,True
47952,117,41,2,True
47953,15,143,2,False
47954,57,101,2,False
47955,58,100,2,False
47956,5,153,2,False
47957,52,106,2,False
47958,155,3,2,True
47959,153,5,2,True
47960,157,1,2,True
47962,121,37,2,True
47963,154,4,2,True
47964,4,154,2,False
47965,157,1,2,True
47966,13,145,2,False
47967,58,100,2,False
47968,154,3,3,True
47969,154,3,3,True
47970,125,33,2,True
47971,151,7,2,True
47972,32,126,2,False
47973,149,9,2,True
47974,7,151,2,False
47975,126,32,2,True
47976,39,119,2,False
47977,66,92,2,False
47978,153,5,2,True
47979,156,2,2,True
47980,147,10,3,True
47981,117,40,3,True
47982,131,27,2,True
47983,54,104,2,False
47984,151,7,2,True
47985,68,89,3,False
47986,10,147,3,False
47987,19,137,4,False
47988,69,85,6,False
47989,122,34,4,True
47990,129,27,4,True
47991,143,13,4,True
47992,10,146,4,False
47993,26,130,4,False
47994,19,138,3,False
47995,149,8,3,True
47996,73,84,3,False
47997,25,132,3,False
47998,123,34,3,True
47999,12,146,2,False
48000,151,7,2,True
48001,51,107,2,False
48002,156,2,2,True
48003,10,148,2,False
48004,146,12,2,True
48005,154,4,2,True
48006,155,3,2,True
48007,156,2,2,True
48008,54,104,2,False
48009,20,138,2,False
48010,125,33,2,True
48011,153,5,2,True
48012,145,14,1,True
48013,116,43,1,True
48014,121,38,1,True
48020,156,3,1,True
48021,126,33,1,True
48022,130,29,1,True
48023,67,92,1,False
48024,157,2,1,True
48025,154,5,1,True
48026,127,32,1,True
48027,157,2,1,True
48028,6,153,1,False
48029,63,96,1,False
48030,54,105,1,False
48031,20,139,1,False
48032,154,5,1,True
48033,46,113,1,False
48034,18,141,1,False
48035,65,94,1,False
48036,129,30,1,True
48037,152,7,1,True
48038,124,35,1,True
48039,157,2,1,True
48040,70,89,1,False
48041,159,0,1,True
48042,45,114,1,False
48043,26,133,1,False
48044,155,4,1,True
48045,129,30,1,True
48046,66,93,1,False
48047,58,101,1,False
48048,26,133,1,False
48049,40,119,1,False
48050,158,1,1,True
48051,63,96,1,False
48052,130,29,1,True
48053,156,3,1,True
48054,157,2,1,True
48055,14,144,2,False
48056,21,137,2,False
48057,37,121,2,False
48058,58,101,1,False
48059,127,32,1,True
48060,19,140,1,False
48061,154,5,1,True
48062,7,152,1,False
48063,65,94,1,False
48064,54,105,1,False
48065,55,104,1,False
48066,122,37,1,True
48067,52,107,1,False
48068,123,36,1,True
48069,18,141,1,False
48070,155,4,1,True
48071,156,3,1,True
48072,50,109,1,False
48073,51,108,1,False
48074,154,5,1,True
48075,153,6,1,True
48076,119,40,1,True
48077,12,147,1,False
48078,51,108,1,False
48079,58,101,1,False
48080,155,4,1,True
48081,149,10,1,True
48082,152,7,1,True
48083,159,0,1,True
48084,127,32,1,True
48085,156,3,1,True
48086,16,143,1,False
48087,150,9,1,True
48088,149,10,1,True
48089,152,7,1,True
48090,51,108,1,False
48091,58,101,1,False
48092,140,18,2,True
48093,155,3,2,True
48094,28,130,2,False
48095,59,99,2,False
48096,41,117,2,False
48097,153,5,2,True
48098,57,102,1,False
48099,154,5,1,True
48100,119,40,1,True
48101,153,6,1,True
48102,121,38,1,True
48103,153,6,1,True
48104,58,101,1,False
48105,71,88,1,False
48106,16,143,1,False
48107,10,149,1,False
48108,44,115,1,False
48109,60,99,1,False
48110,149,10,1,True
48111,56,102,2,False
48112,15,143,2,False
48113,15,144,1,False
48114,17,142,1,False
48115,112,47,1,True
48116,147,11,2,True
48117,117,41,2,True
48118,155,4,1,True
48119,151,8,1,True
48120,156,3,1,True
48121,156,3,1,True
48122,57,102,1,False
48123,39,120,1,False
48124,128,30,2,True
48125,157,2,1,True
48126,39,120,1,False
48127,52,107,1,False
48128,58,101,1,False
48129,11,148,1,False
48130,40,119,1,False
48131,152,7,1,True
48132,18,141,1,False
48133,153,6,1,True
48134,52,107,1,False
48135,151,8,1,True
48136,152,7,1,True
48137,121,38,1,True
48138,154,5,1,True
48139,155,4,1,True
48140,56,103,1,False
48141,158,1,1,True
48142,12,147,1,False
48143,157,2,1,True
48144,65,94,1,False
48145,11,148,1,False
48146,51,108,1,False
48147,58,101,1,False
48148,44,115,1,False
48149,155,4,1,True
48150,133,26,1,True
48151,69,90,1,False
48152,17,142,1,False
48153,42,117,1,False
48154,157,2,1,True
48155,10,149,1,False
48156,157,2,1,True
48157,156,3,1,True
48158,12,147,1,False
48159,47,112,1,False
48160,149,10,1,True
48161,9,150,1,False
48162,156,3,1,True
48163,71,88,1,False
48164,47,112,1,False
48165,25,133,2,False
48166,131,27,2,True
48167,19,140,1,False
48168,15,144,1,False
48169,49,110,1,False
48170,48,110,2,False
48171,73,85,2,False
48172,146,12,2,True
48173,36,122,2,False
48174,74,83,3,False
48175,57,100,3,False
48176,36,121,3,False
48177,46,111,3,False
48178,119,38,3,True
48179,121,37,2,True
48180,48,111,1,False
48181,10,149,1,False
48182,7,152,1,False
48183,154,5,1,True
48184,13,146,1,False
48185,153,6,1,True
48186,13,146,1,False
48187,154,5,1,True
48188,14,145,1,False
48189,57,102,1,False
48190,20,139,1,False
48191,18,141,1,False
48192,16,143,1,False
48193,19,140,1,False
48194,55,104,1,False
48195,49,110,1,False
48196,44,115,1,False
48197,124,35,1,True
48198,153,6,1,True
48199,154,5,1,True
48200,37,122,1,False
48201,135,24,1,True
48202,126,33,1,True
48203,51,108,1,False
48204,157,2,1,True
48205,156,3,1,True
48206,49,110,1,False
48207,153,6,1,True
48208,58,101,1,False
48209,157,2,1,True
48210,50,109,1,False
48211,27,132,1,False
48212,150,9,1,True
48213,30,129,1,False
48214,35,124,1,False
48215,158,1,1,True
48216,155,4,1,True
48217,157,2,1,True
48218,60,99,1,False
48219,154,5,1,True
48220,153,6,1,True
48221,132,27,1,True
48222,41,118,1,False
48223,154,5,1,True
48225,124,4,32,True
48227,126,29,5,True
48228,153,5,2,True
48229,116,11,33,True
48231,143,11,6,True
48237,157,1,2,True
48238,56,103,1,False
48239,151,8,1,True
48240,46,113,1,False
48241,59,100,1,False
48242,57,102,1,False
48243,151,5,4,True
48245,10,147,3,False
48249,146,11,3,True
48253,9,148,3,False
48254,12,145,3,False
48255,140,17,3,True
48258,2,154,4,False
48262,146,10,4,True
48266,146,10,4,True
48267,118,38,4,True
48268,118,38,4,True
48269,146,10,4,True
48272,8,148,4,False
48276,3,153,4,False
48278,2,153,5,False
48279,119,36,5,True
48281,2,153,5,False
48285,9,146,5,False
48286,147,8,5,True
48287,148,7,5,True
48288,3,152,5,False
48289,25,129,6,False
48296,3,151,6,False
48298,139,16,5,True
48299,146,9,5,True
48304,143,12,5,True
48306,5,150,5,False
48308,146,9,5,True
48309,46,109,5,False
48315,150,4,6,True
48317,147,8,5,True
48318,5,150,5,False
48319,14,141,5,False
48320,153,2,5,True
48324,147,8,5,True
48325,146,9,5,True
48326,147,8,5,True
48328,82,73,5,True
48329,112,43,5,True
48331,145,10,5,True
48333,141,13,6,True
48335,141,13,6,True
48340,138,16,6,True
48341,139,16,5,True
48347,147,8,5,True
48349,132,23,5,True
48350,145,9,6,True
48351,137,17,6,True
48355,42,112,6,False
48360,117,37,6,True
48361,144,10,6,True
48362,138,16,6,True
48363,140,14,6,True
48365,147,7,6,True
48366,139,15,6,True
48367,144,10,6,True
48372,147,7,6,True
48375,139,15,6,True
48376,142,12,6,True
48379,142,12,6,True
48380,147,7,6,True
48381,140,14,6,True
48382,32,122,6,False
48384,133,21,6,True
48388,141,13,6,True
48389,144,10,6,True
48390,146,8,6,True
48391,64,90,6,False
48393,120,34,6,True
48395,118,36,6,True
48396,145,9,6,True
48397,148,6,6,True
48398,141,13,6,True
48400,139,15,6,True
48402,15,139,6,False
48405,139,15,6,True
48406,47,107,6,False
48410,13,141,6,False
48411,144,10,6,True
48412,145,9,6,True
48419,148,6,6,True
48423,146,8,6,True
48424,142,12,6,True
48427,142,12,6,True
48428,146,8,6,True
48429,10,144,6,False
48431,147,7,6,True
48437,52,102,6,False
48438,144,10,6,True
48439,118,36,6,True
48440,142,12,6,True
48441,138,16,6,True
48442,23,131,6,False
48444,147,7,6,True
48445,116,38,6,True
48446,89,64,7,True
48447,120,33,7,True
48455,47,106,7,False
48456,118,34,8,True
48459,8,144,8,False
48460,17,135,8,False
48461,143,9,8,True
48462,143,10,7,True
48463,30,124,6,False
48465,6,148,6,False
48467,34,120,6,False
48473,135,19,6,True
48475,139,15,6,True
48477,142,12,6,True
48478,6,148,6,False
48479,147,7,6,True
48480,137,17,6,True
48481,34,119,7,False
48484,43,110,7,False
48485,24,129,7,False
48486,28,125,7,False
48488,109,44,7,True
48491,6,147,7,False
48492,141,12,7,True
48496,41,113,6,False
48497,29,125,6,False
48498,64,90,6,False
48500,131,23,6,True
48501,89,64,7,True
48502,48,106,6,False
48503,136,18,6,True
48504,144,10,6,True
48506,36,118,6,False
48507,58,96,6,False
48508,41,113,6,False
48509,32,122,6,False
48510,132,22,6,True
48513,148,6,6,True
48514,136,18,6,True
48515,5,148,7,False
48517,113,40,7,True
48519,140,13,7,True
48521,139,14,7,True
48522,144,9,7,True
48523,141,12,7,True
48524,145,8,7,True
48525,17,136,7,False
48526,142,11,7,True
48527,141,12,7,True
48528,145,8,7,True
48529,38,115,7,False
48533,140,12,8,True
48536,145,7,8,True
48539,36,116,8,False
48541,136,16,8,True
48543,34,118,8,False
48544,139,13,8,True
48546,127,25,8,True
48547,137,15,8,True
48551,141,11,8,True
48555,141,11,8,True
48557,2,151,7,False
48558,145,4,11,True
48562,119,25,16,True
48563,64,81,15,False
48564,121,24,15,True
48565,69,76,15,False
48566,116,25,19,True
48567,56,68,36,False
48568,111,33,16,True
48569,27,100,33,False
48570,94,48,18,True
48571,143,3,14,True
48572,135,5,20,True
48573,137,4,19,True
48574,131,11,18,True
48575,125,17,18,True
48576,123,19,18,True
48578,120,21,19,True
48579,122,18,20,True
48581,126,17,17,True
48582,124,19,17,True
48583,126,17,17,True
48584,3,137,20,False
48585,137,6,17,True
48586,135,8,17,True
48587,139,4,17,True
48588,139,4,17,True
48589,141,2,17,True
48590,134,9,17,True
48591,140,3,17,True
48592,136,7,17,True
48593,41,35,84,True
48594,39,33,88,True
48597,125,16,19,True
48599,123,24,13,True
48600,150,6,4,True
48602,145,8,7,True
48603,147,2,11,True
48615,140,7,13,True
48617,136,12,12,True
48618,135,13,12,True
48619,132,15,13,True
48620,136,11,13,True
48621,138,9,13,True
48622,139,8,13,True
48624,131,16,13,True
48625,145,2,13,True
48626,134,13,13,True
48627,142,5,13,True
48628,133,12,15,True
48629,136,11,13,True
48630,140,5,15,True
48631,140,6,14,True
48632,138,7,15,True
48633,136,9,15,True
48634,143,2,15,True
48647,119,15,26,True
48648,40,35,85,True
48649,42,38,80,True
48655,106,31,23,True
48656,130,10,20,True
48660,112,16,32,True
48661,113,23,24,True
48662,113,18,29,True
48663,73,61,26,True
48664,121,18,21,True
48665,113,26,21,True
48666,117,22,21,True
48667,118,18,24,True
48668,112,23,25,True
48669,117,18,25,True
48670,128,10,22,True
48671,120,19,21,True
48672,122,17,21,True
48673,122,16,22,True
48674,125,14,21,True
48675,114,23,23,True
48676,121,16,23,True
48677,132,4,24,True
48678,122,15,23,True
48679,112,25,23,True
48680,104,7,49,True
48681,101,7,52,True
48682,103,6,51,True
48683,97,7,56,True
48684,102,5,53,True
48685,95,12,53,True
48686,102,5,53,True
48687,99,7,54,True
48688,101,4,55,True
48689,97,7,56,True
48690,100,3,57,True
48691,100,4,56,True
48692,96,6,58,True
48693,98,5,57,True
48694,96,5,59,True
48695,97,6,57,True
48696,96,7,57,True
48697,101,2,57,True
48698,124,6,30,True
48699,97,6,57,True
48700,43,26,91,True
48701,45,28,87,True
48702,16,62,82,False
48705,111,31,18,True
48713,15,60,85,False
48714,88,9,63,True
48715,128,14,18,True
48718,131,13,16,True
48719,124,8,28,True
48720,65,79,16,False
48721,129,16,15,True
48722,112,33,15,True
48723,139,5,16,True
48724,138,7,15,True
48725,139,3,18,True
48730,107,25,28,True
48731,112,21,27,True
48732,41,39,80,True
48737,91,14,55,True
48739,92,26,42,True
48740,145,1,14,True
48741,143,3,14,True
48743,138,7,15,True
48744,124,20,16,True
48745,133,10,17,True
48746,32,110,18,False
48749,123,19,18,True
