session_id,congressman_id,status
41176,909,0
41176,971,0
41176,904,0
41176,935,0
41176,861,0
41176,902,0
41176,78,0
41176,910,0
41176,949,0
41176,892,2
41176,898,0
41176,86,0
41176,780,0
41176,881,0
41176,247,0
41176,942,0
41176,789,0
41176,976,2
41176,92,2
41176,801,0
41176,93,0
41176,911,0
41176,967,0
41176,802,0
41176,95,2
41176,895,0
41176,179,0
41176,917,0
41176,964,0
41176,793,0
41176,99,0
41176,921,0
41176,781,2
41176,100,0
41176,845,0
41176,903,0
41176,896,0
41176,782,0
41176,893,0
41176,886,0
41176,959,0
41176,828,0
41176,897,0
41176,806,0
41176,937,0
41176,912,0
41176,938,0
41176,790,1
41176,923,0
41176,953,0
41176,919,0
41176,160,0
41176,932,0
41176,117,0
41176,834,0
41176,951,0
41176,945,0
41176,946,0
41176,974,0
41176,122,0
41176,864,0
41176,809,0
41176,957,0
41176,922,0
41176,126,1
41176,925,0
41176,127,0
41176,128,0
41176,913,0
41176,811,2
41176,857,0
41176,890,0
41176,785,0
41176,901,0
41176,931,0
41176,952,0
41176,770,0
41176,966,0
41176,130,0
41176,874,0
41176,924,0
41176,822,0
41176,135,0
41176,914,2
41176,958,0
41176,875,0
41176,955,0
41176,887,0
41176,960,0
41176,954,0
41176,947,0
41176,829,0
41176,154,0
41176,928,0
41176,155,0
41176,977,0
41176,927,2
41177,929,0
41177,840,0
41177,943,0
41177,2,0
41177,956,0
41177,851,0
41177,948,0
41177,772,0
41177,907,0
41177,972,0
41177,11,0
41177,918,0
41177,969,0
41177,894,0
41177,915,0
41177,18,0
41177,891,0
41177,900,0
41177,973,0
41177,908,0
41177,774,0
41177,791,0
41177,905,0
41177,934,0
41177,831,2
41177,30,0
41177,787,0
41177,842,0
41177,31,0
41177,939,0
41177,899,0
41177,965,0
41177,962,0
41177,776,0
41177,883,0
41177,961,0
41177,888,0
41177,885,0
41177,39,0
41177,41,0
41177,826,0
41177,889,0
41177,906,0
41177,950,0
41177,944,0
41177,970,2
41177,777,0
41177,940,0
41177,933,0
41177,818,0
41177,963,0
41177,884,0
41177,941,0
41177,926,0
41177,54,0
41177,930,0
41177,796,0
41177,61,0
41177,819,0
41177,920,0
41177,870,0
41177,788,2
41177,65,2
41177,909,0
41177,971,0
41177,904,0
41177,935,2
41177,861,0
41177,902,0
41177,78,0
41177,910,0
41177,949,0
41177,892,0
41177,898,0
41177,86,0
41177,780,0
41177,881,0
41177,247,0
41177,942,0
41177,789,0
41177,976,0
41177,92,0
41177,801,0
41177,93,0
41177,911,0
41177,967,0
41177,802,0
41177,95,0
41177,895,0
41177,179,0
41177,917,0
41177,964,0
41177,793,0
41177,99,0
41177,921,0
41177,781,2
41177,100,0
41177,845,0
41177,903,0
41177,896,0
41177,782,0
41177,893,0
41177,886,0
41177,959,0
41177,828,0
41177,897,0
41177,806,0
41177,937,0
41177,912,0
41177,938,0
41177,790,2
41177,923,0
41177,953,0
41177,919,0
41177,160,0
41177,932,0
41177,117,0
41177,834,2
41177,951,2
41177,945,0
41177,946,0
41177,974,0
41177,122,0
41177,864,0
41177,809,0
41177,957,0
41177,922,0
41177,126,1
41177,925,0
41177,127,0
41177,128,0
41177,913,0
41177,811,2
41177,857,0
41177,890,0
41177,785,0
41177,901,0
41177,931,0
41177,952,0
41177,770,0
41177,966,0
41177,130,0
41177,874,0
41177,924,0
41177,822,0
41177,135,0
41177,914,2
41177,958,2
41177,875,0
41177,955,0
41177,887,0
41177,960,0
41177,954,0
41177,947,0
41177,829,0
41177,154,0
41177,928,0
41177,155,0
41177,977,0
41177,927,0
41178,929,0
41178,840,0
41178,943,0
41178,2,0
41178,956,0
41178,851,0
41178,948,0
41178,772,2
41178,907,0
41178,972,0
41178,11,0
41178,918,0
41178,969,0
41178,894,0
41178,915,0
41178,18,0
41178,891,0
41178,900,0
41178,973,0
41178,908,0
41178,774,0
41178,791,0
41178,905,0
41178,934,0
41178,831,0
41178,30,0
41178,787,0
41178,842,0
41178,31,0
41178,939,0
41178,899,0
41178,965,0
41178,962,0
41178,776,0
41178,883,0
41178,961,2
41178,888,0
41178,885,0
41178,39,0
41178,41,0
41178,826,0
41178,889,0
41178,906,0
41178,950,0
41178,944,0
41178,970,0
41178,777,1
41178,940,0
41178,933,0
41178,818,0
41178,963,0
41178,884,0
41178,941,0
41178,926,0
41178,54,0
41178,930,0
41178,796,0
41178,61,0
41178,819,0
41178,920,0
41178,870,2
41178,788,0
41178,65,0
41178,909,0
41178,971,0
41178,904,0
41178,935,0
41178,861,0
41178,902,0
41178,78,0
41178,910,0
41178,949,0
41178,892,0
41178,898,0
41178,86,0
41178,780,0
41178,881,0
41178,247,0
41178,942,0
41178,789,0
41178,976,0
41178,92,0
41178,801,0
41178,93,0
41178,911,0
41178,967,0
41178,802,0
41178,95,0
41178,895,0
41178,179,0
41178,917,0
41178,964,0
41178,793,0
41178,99,0
41178,921,0
41178,781,0
41178,100,0
41178,845,0
41178,903,0
41178,896,0
41178,782,0
41178,893,0
41178,886,0
41178,959,0
41178,828,0
41178,897,0
41178,806,0
41178,937,0
41178,912,0
41178,938,0
41178,790,2
41178,923,0
41178,953,0
41178,919,0
41178,160,0
41178,932,0
41178,117,0
41178,834,0
41178,951,0
41178,945,0
41178,946,0
41178,974,0
41178,122,0
41178,864,0
41178,809,0
41178,957,0
41178,922,0
41178,126,0
41178,925,0
41178,127,0
41178,128,0
41178,913,0
41178,811,0
41178,857,0
41178,890,0
41178,785,0
41178,901,0
41178,931,0
41178,952,0
41178,770,0
41178,966,0
41178,130,0
41178,874,0
41178,924,0
41178,822,0
41178,135,0
41178,914,0
41178,958,0
41178,875,0
41178,955,0
41178,887,0
41178,960,0
41178,954,0
41178,947,0
41178,829,0
41178,154,0
41178,928,0
41178,155,0
41178,977,0
41178,927,0
41179,929,0
41179,840,0
41179,943,0
41179,2,0
41179,956,0
41179,851,0
41179,948,0
41179,772,2
41179,907,0
41179,972,0
41179,11,1
41179,918,0
41179,969,0
41179,894,0
41179,915,0
41179,18,0
41179,891,0
41179,900,0
41179,973,0
41179,908,0
41179,774,0
41179,791,0
41179,905,0
41179,934,0
41179,831,0
41179,30,0
41179,787,0
41179,842,0
41179,31,0
41179,939,0
41179,899,0
41179,965,0
41179,962,0
41179,776,0
41179,883,0
41179,961,0
41179,888,0
41179,885,0
41179,39,0
41179,41,0
41179,826,0
41179,889,0
41179,906,0
41179,950,0
41179,944,0
41179,970,0
41179,777,0
41179,940,0
41179,933,0
41179,818,0
41179,963,0
41179,884,0
41179,941,0
41179,926,0
41179,54,0
41179,930,0
41179,796,0
41179,61,0
41179,819,2
41179,920,0
41179,870,2
41179,788,0
41179,65,0
41179,909,0
41179,971,0
41179,904,0
41179,935,0
41179,861,0
41179,902,0
41179,78,0
41179,910,0
41179,949,0
41179,892,0
41179,898,0
41179,86,0
41179,780,0
41179,881,0
41179,247,0
41179,942,0
41179,789,0
41179,976,0
41179,92,0
41179,801,0
41179,93,0
41179,911,0
41179,967,0
41179,802,0
41179,95,0
41179,895,0
41179,179,0
41179,917,0
41179,964,0
41179,793,0
41179,99,0
41179,921,0
41179,781,0
41179,100,0
41179,845,0
41179,903,0
41179,896,0
41179,782,0
41179,893,0
41179,886,0
41179,959,0
41179,828,0
41179,897,0
41179,806,0
41179,937,0
41179,912,0
41179,938,0
41179,790,0
41179,923,0
41179,953,0
41179,919,0
41179,160,0
41179,932,0
41179,117,0
41179,834,0
41179,951,0
41179,945,0
41179,946,0
41179,974,0
41179,122,0
41179,864,0
41179,809,0
41179,957,0
41179,922,0
41179,126,0
41179,925,0
41179,127,0
41179,128,0
41179,913,0
41179,811,0
41179,857,0
41179,890,0
41179,785,0
41179,901,0
41179,931,0
41179,952,2
41179,770,0
41179,966,0
41179,130,2
41179,874,0
41179,924,0
41179,822,0
41179,135,0
41179,914,0
41179,958,0
41179,875,0
41179,955,0
41179,887,0
41179,960,0
41179,954,0
41179,947,0
41179,829,0
41179,154,0
41179,928,0
41179,155,0
41179,977,0
41179,927,0
41180,929,0
41180,840,0
41180,943,0
41180,2,0
41180,956,0
41180,851,0
41180,948,0
41180,772,2
41180,907,0
41180,972,0
41180,11,2
41180,918,0
41180,969,0
41180,894,0
41180,915,0
41180,18,0
41180,891,0
41180,900,0
41180,973,0
41180,908,0
41180,774,0
41180,791,0
41180,905,0
41180,934,0
41180,831,0
41180,30,0
41180,787,0
41180,842,0
41180,31,0
41180,939,0
41180,899,0
41180,965,0
41180,962,0
41180,776,0
41180,883,0
41180,961,0
41180,888,0
41180,885,0
41180,39,0
41180,41,0
41180,826,0
41180,889,0
